05/09/2024 13:28:09: User=Anonymous, Controller=Home, Action=Index
05/09/2024 13:28:09: User=Anonymous, Controller=User, Action=Index
05/09/2024 13:28:33: User=a, Controller=User, Action=Index
05/09/2024 13:28:33: User=a, Controller=Home, Action=Index
05/09/2024 13:28:35: User=a, Controller=User, Action=Add
05/09/2024 13:28:40: User=a, Controller=User, Action=Add
05/09/2024 13:28:40: User=a, Controller=Home, Action=Index
06/09/2024 10:49:02: User=Anonymous, Controller=Home, Action=Index
06/09/2024 10:49:02: User=Anonymous, Controller=User, Action=Index
06/09/2024 10:49:08: User=Anonymous, Controller=User, Action=Index
06/09/2024 10:49:14: User=A, Controller=User, Action=Index
06/09/2024 10:49:14: User=A, Controller=Home, Action=Index
06/09/2024 10:49:32: User=A, Controller=Theme, Action=Switch
06/09/2024 10:49:32: User=A, Controller=Home, Action=Index
06/09/2024 10:49:33: User=A, Controller=Theme, Action=Switch
06/09/2024 10:49:33: User=A, Controller=Home, Action=Index
06/09/2024 10:49:34: User=A, Controller=Theme, Action=Switch
06/09/2024 10:49:34: User=A, Controller=Home, Action=Index
06/09/2024 10:49:36: User=A, Controller=Theme, Action=Switch
06/09/2024 10:49:36: User=A, Controller=Home, Action=Index
06/09/2024 10:49:37: User=A, Controller=Theme, Action=Switch
06/09/2024 10:49:37: User=A, Controller=Home, Action=Index
06/09/2024 10:50:28: User=A, Controller=User, Action=Add
06/09/2024 10:50:30: User=A, Controller=Theme, Action=Switch
06/09/2024 10:50:30: User=A, Controller=User, Action=Add
06/09/2024 10:50:32: User=A, Controller=Theme, Action=Switch
06/09/2024 10:50:32: User=A, Controller=User, Action=Add
06/09/2024 10:50:52: User=A, Controller=User, Action=Logout
06/09/2024 10:50:52: User=A, Controller=User, Action=Index
06/09/2024 11:06:28: User=Anonymous, Controller=Home, Action=Index
06/09/2024 11:06:28: User=Anonymous, Controller=User, Action=Index
06/09/2024 11:06:31: User=Anonymous, Controller=Theme, Action=Switch
06/09/2024 11:06:31: User=Anonymous, Controller=User, Action=Index
06/09/2024 11:06:33: User=Anonymous, Controller=Theme, Action=Switch
06/09/2024 11:06:33: User=Anonymous, Controller=User, Action=Index
06/09/2024 11:06:34: User=Anonymous, Controller=Theme, Action=Switch
06/09/2024 11:06:34: User=Anonymous, Controller=User, Action=Index
